buffer_size,T1,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
32,2.7,1.6,1.3,1.5,2,2.1,1.6,1.6,1.5,1.8,1.6
64,7.4,3.2,3.1,3.2,3.4,4.1,4.2,3.8,3.4,3.3,4
128,7.8,4.8,3.8,4.3,5.1,4.6,4.7,4.1,4.4,4.4,4.5
256,9.2,4.2,3.2,3.2,5,3.5,4.4,5.1,5.8,4.2,3.6
512,18,7.8,7.3,7.3,10.4,10.5,8.6,9,9.1,9.5,12
1024,19.4,7.5,9.2,8.2,10.1,10.9,12.3,9.5,9.3,7.9,9.6
2048,23.4,9.2,7.9,7.3,9.9,8.2,10,8.5,9.1,11.3,9.7
4096,31.8,15.2,7.5,7.5,8.4,12.8,8.8,10.2,10.7,10,9.1
8192,56.6,13.8,12,13.6,17.4,25.8,29,14.2,15.7,27.6,34.7
16384,58.5,37,37.3,40.2,32.2,40.4,45.4,31.1,30.5,41.6,45.9
32768,57.9,43.8,43.1,45.4,40.6,38,45.6,50.3,47.3,45.5,40.3
