buffer_size,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
32768,0,0.1,0,0,0,0.5,0,0,0.5,0,0
65536,0.9,1,0.9,0.9,1,2.3,1.2,2.4,2.4,2.5,1.8
131072,1.4,1.4,1.4,1.4,1.4,3.8,1.5,3.3,3.9,3.6,3.4
262144,1.6,1.7,1.7,1.7,1.8,4.5,2.9,4.2,4.7,4.1,4.2
524288,6.3,6.2,6.3,6.3,6.4,17.4,15.9,16.7,17.5,17.5,16.8
1048576,8.7,8.7,8.6,8.6,8.6,24,21.8,23.5,24.2,23.8,23.6
2097152,10.1,9.8,9.9,9.8,10,26.6,26.1,26.9,27.3,27.2,26.8
4194304,11,10.9,11,11,11.2,29.8,30,29.7,29.8,29.5,29.3
8388608,40.8,40.5,39.7,41.1,43.6,58.3,55.6,55,46.2,45.6,46.2
16777216,85.7,86.2,81.1,86.5,88.5,92.4,93.1,92.3,85.2,85.2,84.6
33554432,107,99.1,105,100.4,99,113.2,112.4,111.4,108.2,107.6,107.5
67108864,110.4,115.7,111.7,119.3,108.5,126.9,125.5,123.2,123.8,123.5,124.5
